rain_gauge_name,rain_gauge_id,rain_gauge_serial,rain_gauge_device_id,rain_gauge_device_serial
Bonita,11,dbbd1242-4f9f-43f9-90b9-8b3ad8eeb0c4,3,1fa07b92-6c0a-4168-932c-8433e1cd6d9a
Bonsall,118,e6f79336-c471-44b4-ae9f-440dc5021b92,2,8ec3a518-de44-4393-a65f-b494b22ca7a6
Cactus County Park,74,1e235bf7-3b36-46a5-9202-d5969a3d7f98,1,85d1c667-0cae-428a-b32b-434f026fedca
Deer Springs,104,2a03361b-b8e7-430b-ad6f-aa897a765439,1,5db8d9fc-ec6a-4a4e-9dbc-f5894590fde0
El Camino del Norte,32,730fd8d6-b24f-485a-b869-642a59b9dd72,1,972976ed-3831-45c8-8d4a-86fce16f9bf6
Fallbrook,122,22eec63b-79a3-4abe-8985-85963db48b13,1,369c85cb-c893-456b-9257-15dbcdda2ec4
Flinn Springs County Park,61,b73e2e89-144a-46f3-83ef-3e3ca268a8d6,1,f6d94e21-74e9-425f-a333-1c746aea06e8
Los Coches,62,e186e452-ddd5-4119-a34c-efdc00b35221,1,b6ef5c28-e7c6-4705-82b6-d3e4a03484f7
Ramona CRS,3,d344fa43-a465-4fa2-99f1-27df061e3b5a,1,b422612c-c51d-4136-93b3-77b633a0be9a
Rancho Bernardo,28,a1c6e51f-7f47-4b67-82c0-71f319062885,1,4ea53824-57fd-40ab-9eb8-d367bb5918c3
Roads Div I,15,91047666-b9ea-48a7-bb25-f3d0b974a428,1,566cde92-8697-4632-8396-d0a7fdedeb18
San Marcos CRS,105,5476904e-d351-44ec-80e5-80ea107b65e8,1,9ace9334-9f1a-47b0-95d7-73deab1bca6b
San Onofre,125,3719be92-d0fb-44ad-97b9-974865fa48bf,1,01f1b7bf-0af5-4321-bdbc-1893d8125ace
SD Country Estates,72,225d573e-4dcc-409f-878a-0aca88049a22,1,6339b609-62b1-4790-ae9f-a11c89617008
Encinitas,33,6aab73e4-71d6-4084-95d8-a4773c377718,1,845fb9c4-71dd-4388-8cd9-ca1936b4172a
