,CAR-072H_cond_mScm,SDR-203A_cond_mScm,SDR-204A_cond_mScm,SLR-045_cond_mScm,SLR-115_cond_mScm,SWT-030_cond_mScm,SWT-153_cond_mScm,DP-Monarch_cond_mScm,DP-SeaCanyon_cond_mScm,SDR-035_cond_mScm,SDR-035A_cond_mScm,SDR-035B_cond_mScm,LN-K01-12177-1_cond_mScm
2022-04-14 11:50:00,,,,,,,,0.019,,,,,
2022-04-14 11:55:00,,,,,,,,0.014,,,,,
2022-04-14 12:00:00,,,,,,,,0.012,,,,,
2022-04-14 12:05:00,,,,,,,,0.008,,,,,
2022-04-14 12:10:00,,,,,,,,0.004,,,,,
2022-04-14 12:15:00,,,,,,,,0.0,,,,,
2022-04-14 12:20:00,,,,,,,,0.0,,,,,
2022-04-14 12:25:00,,,,,,,,0.02,,,,,
2022-04-14 12:30:00,,,,,,,,0.0,,,,,
2022-04-14 12:35:00,,,,,,,,0.0,,,,,
2022-04-14 12:40:00,,,,,,,,0.0,,,,,
2022-04-14 12:45:00,,,,,,,,0.0,,,,,
2022-04-14 12:50:00,,,,,,,,4.699,,,,,
2022-04-14 12:55:00,,,,,,,,5.7810000000000015,,,,,
2022-04-14 13:00:00,,,,,,,,5.768,,,,,
2022-04-14 13:05:00,,,,,,,,5.7810000000000015,,,,,
2022-04-14 13:10:00,,,,,,,,5.7810000000000015,,,,,
2022-04-14 13:15:00,,,,,,,,5.808,,,,,
2022-04-14 13:20:00,,,,,,,,5.8210000000000015,,,,,
2022-04-14 13:25:00,,,,,,,,5.8210000000000015,,,,,
2022-04-14 13:30:00,,,,,,,,5.794,,,,,
2022-04-14 13:35:00,,,,,,,,5.754,,,,,
2022-04-14 13:40:00,,,,,,,,5.702000000000001,,,,,
2022-04-14 13:45:00,,,,,,,,5.636,,,,,
2022-04-14 13:50:00,,,,,,,,5.585,,,,,
2022-04-14 13:55:00,,,,,,,,5.534,,,,,
2022-04-14 14:00:00,,,,,,,,5.483,,,,,
2022-04-14 14:05:00,,,,,,,,5.433,,,,,
2022-04-14 14:10:00,,,,,,,,5.382999999999999,,,,,
2022-04-14 14:15:00,,,,,,,,5.37,,,,,
2022-04-14 14:20:00,,,,,,,,5.358,,,,,
2022-04-14 14:25:00,,,,,,,,5.332999999999998,,,,,
2022-04-14 14:30:00,,,,,,,,5.358,,,,,
2022-04-14 14:35:00,,,,,,,,5.37,,,,,
2022-04-14 14:40:00,,,,,,,,5.382999999999999,,,,,
2022-04-14 14:45:00,,,,,,,,5.433,,,,,
2022-04-14 14:50:00,,,,,,,,5.483,,,,,
2022-04-14 14:55:00,,,,,,,,5.534,,,,,
2022-04-14 15:00:00,,,,,,,,5.61,,,,,
2022-04-14 15:05:00,,,,,,,,5.662000000000001,,,,,
2022-04-14 15:10:00,,,,,,,,5.715,,,,,
2022-04-14 15:15:00,,,,,,,,5.794,,,,,
2022-04-14 15:20:00,,,,,,,,5.808,6.324,,,,
2022-04-14 15:25:00,,,,,,,,5.794,6.353,,,,
2022-04-14 15:30:00,,,,,,,,5.702000000000001,6.266,,,,
2022-04-14 15:35:00,,,,,,,,5.636,6.124,,,,
2022-04-14 15:40:00,,,,,,,,5.585,6.067,,,,
2022-04-14 15:45:00,,,,,,,,5.546,6.067,,,,
2022-04-14 15:50:00,,,,,,,,5.521,6.166,,,,
2022-04-14 15:55:00,,,,,,,,5.495,6.252000000000002,,,,
2022-04-14 16:00:00,,,,,,,,5.433,6.31,,,,
2022-04-14 16:05:00,,,,,,,,5.395,6.339,,,,
2022-04-14 16:10:00,,,,,,,,5.358,6.339,,,,
2022-04-14 16:15:00,,,,,,,,5.2970000000000015,6.223,,,,
2022-04-14 16:20:00,,,,,,,,5.272,6.209,,,,
2022-04-14 16:25:00,,,,,,,,5.272,6.295,,,,
2022-04-14 16:30:00,,,,,,,,5.2970000000000015,6.3679999999999986,,,,
2022-04-14 16:35:00,,,,,,,,5.346,6.353,,,,
2022-04-14 16:40:00,,,,,,,,5.37,6.31,,,,
2022-04-14 16:45:00,,,,,,,,5.408,6.324,,,,
2022-04-14 16:50:00,,,,,,,,5.4579999999999975,6.397,,,,
2022-04-14 16:55:00,,,,,,,,5.495,6.516,,,,
2022-04-14 17:00:00,,,,,,,,5.534,6.622000000000001,,,,
2022-04-14 17:05:00,,,,,,,,5.559,6.714,,,,
2022-04-14 17:10:00,,,,,,,,5.598,6.761,,,,
2022-04-14 17:15:00,,,,,,,,5.649,6.808,,,,
2022-04-14 17:20:00,,,,,,,,5.794,6.808,,,,
2022-04-14 17:25:00,,,,,,,,5.943,6.745,,,,
2022-04-14 17:30:00,,,,,,,,6.067,6.6679999999999975,,,,
2022-04-14 17:35:00,,,,,,,,6.166,6.561,,,,
2022-04-14 17:40:00,,,,,,,,6.237,6.501,,,,
2022-04-14 17:45:00,,,,,,,,6.223,6.516,,,,
2022-04-14 17:50:00,,,,,,,,6.138,6.501,,,,
2022-04-14 17:55:00,,,,,,,,5.97,6.295,,,,
2022-04-14 18:00:00,,,,,,,,5.808,6.209,,,,
2022-04-14 18:05:00,,,,,,,,5.675,6.339,,,,
2022-04-14 18:10:00,,,,,,,,5.598,6.501,,,,
2022-04-14 18:15:00,,,,,,,,5.521,6.622000000000001,,,,
2022-04-14 18:20:00,,,,,,,,5.507999999999999,6.714,,,,
2022-04-14 18:25:00,,,,,,,,5.495,6.839,,,,
2022-04-14 18:30:00,,,,,,,,5.507999999999999,6.902,,,,
2022-04-14 18:35:00,,,,,,,,5.521,6.9979999999999976,,,,
2022-04-14 18:40:00,,,,,,,,5.521,7.015,,,,
2022-04-14 18:45:00,,,,,,,,5.521,6.9979999999999976,,,,
2022-04-14 18:50:00,,,,,,,,5.521,6.95,,,,
2022-04-14 18:55:00,,,,,,,,5.521,6.902,,,,
2022-04-14 19:00:00,,,,,,,,5.546,6.871,,,,
2022-04-14 19:05:00,,,,,,,,5.585,6.745,,,,
2022-04-14 19:10:00,,,,,,,,5.6229999999999976,6.622000000000001,,,,
