,CAR-072H_temp_F,SDR-203A_temp_F,SDR-204A_temp_F,SLR-045_temp_F,SLR-115_temp_F,SWT-030_temp_F,SWT-153_temp_F,DP-Monarch_temp_F,DP-SeaCanyon_temp_F,SDR-035_temp_F,SDR-035A_temp_F,SDR-035B_temp_F,LN-K01-12177-1_temp_F
2022-04-14 11:50:00,,,,,,,,57.6,,,,,
2022-04-14 11:55:00,,,,,,,,57.2,,,,,
2022-04-14 12:00:00,,,,,,,,57.1,,,,,
2022-04-14 12:05:00,,,,,,,,57.0,,,,,
2022-04-14 12:10:00,,,,,,,,57.0,,,,,
2022-04-14 12:15:00,,,,,,,,57.0,,,,,
2022-04-14 12:20:00,,,,,,,,57.0,,,,,
2022-04-14 12:25:00,,,,,,,,57.2,,,,,
2022-04-14 12:30:00,,,,,,,,57.3,,,,,
2022-04-14 12:35:00,,,,,,,,57.1,,,,,
2022-04-14 12:40:00,,,,,,,,57.0,,,,,
2022-04-14 12:45:00,,,,,,,,57.0,,,,,
2022-04-14 12:50:00,,,,,,,,58.0,,,,,
2022-04-14 12:55:00,,,,,,,,59.1,,,,,
2022-04-14 13:00:00,,,,,,,,59.4,,,,,
2022-04-14 13:05:00,,,,,,,,59.4,,,,,
2022-04-14 13:10:00,,,,,,,,59.4,,,,,
2022-04-14 13:15:00,,,,,,,,59.4,,,,,
2022-04-14 13:20:00,,,,,,,,59.4,,,,,
2022-04-14 13:25:00,,,,,,,,59.4,,,,,
2022-04-14 13:30:00,,,,,,,,59.4,,,,,
2022-04-14 13:35:00,,,,,,,,59.4,,,,,
2022-04-14 13:40:00,,,,,,,,59.4,,,,,
2022-04-14 13:45:00,,,,,,,,59.4,,,,,
2022-04-14 13:50:00,,,,,,,,59.4,,,,,
2022-04-14 13:55:00,,,,,,,,59.4,,,,,
2022-04-14 14:00:00,,,,,,,,59.4,,,,,
2022-04-14 14:05:00,,,,,,,,59.4,,,,,
2022-04-14 14:10:00,,,,,,,,59.4,,,,,
2022-04-14 14:15:00,,,,,,,,59.4,,,,,
2022-04-14 14:20:00,,,,,,,,59.4,,,,,
2022-04-14 14:25:00,,,,,,,,59.4,,,,,
2022-04-14 14:30:00,,,,,,,,59.4,,,,,
2022-04-14 14:35:00,,,,,,,,59.4,,,,,
2022-04-14 14:40:00,,,,,,,,59.5,,,,,
2022-04-14 14:45:00,,,,,,,,59.5,,,,,
2022-04-14 14:50:00,,,,,,,,59.5,,,,,
2022-04-14 14:55:00,,,,,,,,59.5,,,,,
2022-04-14 15:00:00,,,,,,,,59.5,,,,,
2022-04-14 15:05:00,,,,,,,,59.5,,,,,
2022-04-14 15:10:00,,,,,,,,59.5,,,,,
2022-04-14 15:15:00,,,,,,,,59.5,,,,,
2022-04-14 15:20:00,,,,,,,,59.5,63.7,,,,
2022-04-14 15:25:00,,,,,,,,59.6,63.7,,,,
2022-04-14 15:30:00,,,,,,,,59.7,63.7,,,,
2022-04-14 15:35:00,,,,,,,,59.7,63.7,,,,
2022-04-14 15:40:00,,,,,,,,59.7,63.7,,,,
2022-04-14 15:45:00,,,,,,,,59.7,63.7,,,,
2022-04-14 15:50:00,,,,,,,,59.7,63.7,,,,
2022-04-14 15:55:00,,,,,,,,59.8,63.8,,,,
2022-04-14 16:00:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:05:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:10:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:15:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:20:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:25:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:30:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:35:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:40:00,,,,,,,,59.9,63.9,,,,
2022-04-14 16:45:00,,,,,,,,60.0,63.9,,,,
2022-04-14 16:50:00,,,,,,,,60.1,63.9,,,,
2022-04-14 16:55:00,,,,,,,,60.1,63.9,,,,
2022-04-14 17:00:00,,,,,,,,60.1,63.9,,,,
2022-04-14 17:05:00,,,,,,,,60.1,63.9,,,,
2022-04-14 17:10:00,,,,,,,,60.1,63.9,,,,
2022-04-14 17:15:00,,,,,,,,60.1,63.9,,,,
2022-04-14 17:20:00,,,,,,,,60.1,63.9,,,,
2022-04-14 17:25:00,,,,,,,,60.2,63.9,,,,
2022-04-14 17:30:00,,,,,,,,60.3,63.9,,,,
2022-04-14 17:35:00,,,,,,,,60.3,63.9,,,,
2022-04-14 17:40:00,,,,,,,,60.3,63.9,,,,
2022-04-14 17:45:00,,,,,,,,60.3,64.0,,,,
2022-04-14 17:50:00,,,,,,,,60.3,64.0,,,,
2022-04-14 17:55:00,,,,,,,,60.3,64.0,,,,
2022-04-14 18:00:00,,,,,,,,60.3,63.9,,,,
2022-04-14 18:05:00,,,,,,,,60.3,64.0,,,,
2022-04-14 18:10:00,,,,,,,,60.3,64.0,,,,
2022-04-14 18:15:00,,,,,,,,60.3,64.0,,,,
2022-04-14 18:20:00,,,,,,,,60.3,64.0,,,,
2022-04-14 18:25:00,,,,,,,,60.3,64.0,,,,
2022-04-14 18:30:00,,,,,,,,60.2,64.0,,,,
2022-04-14 18:35:00,,,,,,,,60.1,64.0,,,,
2022-04-14 18:40:00,,,,,,,,60.1,64.0,,,,
2022-04-14 18:45:00,,,,,,,,60.1,64.0,,,,
2022-04-14 18:50:00,,,,,,,,60.1,64.0,,,,
2022-04-14 18:55:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:00:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:05:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:10:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:15:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:20:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:25:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:30:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:35:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:40:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:45:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:50:00,,,,,,,,60.1,64.0,,,,
2022-04-14 19:55:00,,,,,,,,60.1,64.0,,,,
2022-04-14 20:00:00,,,,,,,,60.1,64.0,,,,
2022-04-14 20:05:00,,,,,,,,60.1,64.0,,,,
2022-04-14 20:10:00,,,,,,,,60.1,64.0,,,,
2022-04-14 20:15:00,,,,,,,,60.1,64.0,,,,
2022-04-14 20:20:00,,,,,,,,60.1,64.0,,,,
2022-04-14 20:25:00,,,,,,,,60.1,64.0,,,,
2022-04-14 20:30:00,,,,,,,,60.1,64.2,,,,
2022-04-14 20:35:00,,,,,,,,60.1,64.2,,,,
2022-04-14 20:40:00,,,,,,,,60.1,64.2,,,,
2022-04-14 20:45:00,,,,,,,,60.1,64.2,,,,
2022-04-14 20:50:00,,,,,,,,60.1,64.2,,,,
2022-04-14 20:55:00,,,,,,,,60.1,64.4,,,,
2022-04-14 21:00:00,,,,,,,,60.1,64.4,,,,
2022-04-14 21:05:00,,,,,,,,60.1,64.4,,,,
2022-04-14 21:10:00,,,,,,,,60.1,64.5,,,,
2022-04-14 21:15:00,,,,,,,,60.1,64.6,,,,
2022-04-14 21:20:00,,,,,,,,60.0,64.7,,,,
2022-04-14 21:25:00,,,,,,,,59.9,64.8,,,,
2022-04-14 21:30:00,,,,,,,,59.9,64.8,,,,
2022-04-14 21:35:00,,,,,,,,59.7,64.8,,,,
2022-04-14 21:40:00,,,,,,,,59.6,64.8,,,,
2022-04-14 21:45:00,,,,,,,,59.5,64.8,,,,
2022-04-14 21:50:00,,,,,,,,59.5,64.8,,,,
2022-04-14 21:55:00,,,,,,,,59.4,64.8,,,,
2022-04-14 22:00:00,,,,,,,,59.4,64.8,,,,
2022-04-14 22:05:00,,,,,,,,59.2,64.8,,,,
